,SalePrice
1292,107500
1010,135000
575,118500
281,185000
1113,134500
1392,163000
187,135000
207,141000
165,127500
927,176000
892,154500
246,137000
269,148000
288,122000
830,166000
1182,745000
1060,213500
394,109000
701,140000
977,199900
297,239000
1043,262280
978,110000
310,165600
553,108000
1136,119000
291,135900
632,82500
1425,271000
1383,105000
787,233000
918,238000
644,370878
714,130500
1373,466500
189,286000
710,52000
5,143000
1242,170000
925,175000
1169,625000
1228,367294
515,402861
826,109500
432,122500
453,210000
847,133500
362,198500
1230,190000
1411,90000
127,87000
561,170000
209,145000
314,178000
331,139000
656,145500
552,255500
404,168000
806,135500
368,132000
1225,145000
1066,178000
902,180000
117,155000
493,155000
324,242000
556,141000
0,208500
1033,230000
55,180500
1437,149700
1127,259000
1399,120000
455,175500
595,319000
1332,100000
717,157000
875,303477
319,187500
18,159000
813,157900
1210,189000
1110,188000
350,318061
46,239686
168,183500
674,140000
944,137500
340,202900
221,200000
1397,138000
436,116000
1426,140000
627,153000
998,91000
258,231500
137,171000
330,119000
376,148000
1006,163500
158,254900
972,99500
1204,153500
32,179900
150,122000
1287,190000
777,142500
103,198900
347,157500
551,112500
540,315000
727,194500
516,158000
929,222000
1037,287000
1237,195000
206,143900
985,125000
1453,185000
877,350000
1279,68400
412,222000
328,214500
648,155000
346,151500
680,143000
1449,136000
736,93500
607,225000
917,135000
459,110000
1072,91500
506,215000
1376,91000
1106,179900
923,193000
355,177500
1119,133700
446,190000
1091,160000
534,178000
766,196500
422,113000
380,127000
201,171500
671,103600
128,155000
1168,235000
1020,176000
401,164990
1233,142000
286,159000
268,120500
90,109900
1065,328000
464,124000
1358,177500
1258,190000
921,145900
1077,138800
690,141000
785,161500
1267,378500
1103,159500
1075,219500
797,110000
535,107500
914,173733
640,274000
713,129000
557,108000
818,155000
865,148500
747,265979
313,375000
749,98000
232,94500
364,190000
185,475000
62,202500
480,326000
732,222500
780,176000
624,165150
662,110000
746,236000
597,194201
1270,260000
134,180000
1021,194000
655,88000
856,147000
783,165500
360,156000
290,233230
1206,107000
1388,131000
1405,133000
71,129500
4,250000
645,143250
44,141000
472,148000
762,215200
801,109900
796,143500
715,165000
1159,185000
1438,197000
1095,176432
630,124000
15,132000
1240,224900
1098,128000
1440,149300
760,127500
606,152000
919,176500
406,115000
1431,64500
93,133900
283,244600
825,385000
543,133000
1345,108500
652,191000
89,123600
670,173500
1366,193000
653,135000
1406,112000
409,339750
755,172500
13,279500
77,127000
1078,155900
974,167500
1224,184000
574,139000
1146,180000
1387,377500
1368,144000
54,130000
395,129000
239,113000
356,173000
371,134432
1444,129000
502,140000
40,160000
490,115000
256,207500
1097,170000
1032,310000
733,131400
1180,250000
1147,174500
1393,246578
1344,155835
527,446261
1149,143000
1289,281000
